servo,servo2,servo3,servo4,servo5,servo6,time
2051.0,1298.0,2306.0,995.0,1100.0,503.0,1.0
3067.0,1298.0,2306.0,995.0,1100.0,503.0,1.0
3067.0,2174.0,1627.0,1458.0,1100.0,503.0,1.0
3067.0,2698.0,1628.0,1675.0,1100.0,1317.0,1.0
3067.0,1886.0,1644.0,1578.0,1747.0,542.0,1.0
2065.0,1877.0,1474.0,2809.0,71.0,542.0,1.0
2068.0,1905.0,2686.0,2388.0,2023.0,1087.0,1.0
2050.0,1300.0,2311.0,996.0,1101.0,503.0,1.0
